Headline,Date,Description
"Hyderabad crook claims Aadhaar linked to Dawood Ibrahim's aide, dupes 60-year-old","Aug 10, 2024",A 60-year-old state government employee in Hyderabad was defrauded of ₹21 lakh by cyber criminals posing as RBI officials. They falsely claimed that the victim's Aadhaar was linked to money laundering and terrorist activities. The fraudsters manipulated him into transferring the money by threatening arrest and fabricating fake orders from the Supreme Court and CBI.
Counterfeit drugs of major brands seized,"Dec 30, 2024",
Engineer among three arrested with 100gm MDMA meant for New Year revelry,"Dec 29, 2024","Three persons, including an engineer, from Maharashtra were arrested for allegedly operating an inter-state drug smuggling racket. Police seized 102 gram of MDMA. Anup Navnath, Kiran Gangadhar, and Vivek Rajesh were arrested in Hyderabad. Anup used to consume and sell MDMA, purchasing it at Rs 2,000 per gram and selling it at Rs 5,000. After being released from jail, Anup continued to peddle drugs, buying from an African supplier and supplying it to Kiran, Vivek, and customers in Hyderabad. Kiran and Vivek planned to sell MDMA and requested 150 grams from Anup, leading to their arrest."
Nigerian peddler held with drug haul worth Rs 8 crore in Hyderabad,"Feb 07, 2024",
"Law student, 6 others held for bid to frame ex-lover in drug case","Dec 27, 2024","Hyderabad law student arrested for framing ex-boyfriend in drug case; Sravan, loan section employee, broke up with her; student hatched plan, planted ganja in his car; police confronted Sravan, realized ex-girlfriend was informant."
Two real estate agents working for a reputed real estate firm held for raping their colleague,"Jul 03, 2024",
Peddler held with syrups & muscle-growth injections,"Dec 29, 2024",
Police make 14th arrest in Samangaon drug case,"Dec 13, 2024",
Telangana: Doctor’s wife arrested for illegal supply of Fentanyl,"Jan 19, 2024",
'Kabali' film producer arrested in Hyderabad drug bust!,"Jun 14, 2024","Hyderabad's film industry has been hit with another drug case as 'Kabali' producer KP Choudhary was arrested by police for allegedly possessing cocaine. This comes after a series of drug-related arrests involving Telugu film celebrities. Choudhary was found in possession of the drug during a routine check, which ultimately led to the unearthing of a drug operation by the police. The cocaine was seized and Choudhary has been taken into police custody to face further legal proceedings by the ED and other investigative agencies."
"Nigerian cartels skirt arrest, use Sudanese as drug mules","Jul 10, 2024",
Hyderabad Police arrest fraudster who facilitated Binance account to Chinese,"Dec 25, 2024","Hyderabad Cyber Crime Police arrested 24-year-old Harsh Kumar from Aligarh, Uttar Pradesh. He facilitated a Binance account for Chinese fraudsters, buying cryptocurrency with cheated money and transferring it to them. The arrest was made after a complaint from a resident of Tarnaka, Hyderabad. The fraudsters impersonated FedEx and claimed that a parcel with illegal contents was sent to Taiwan using the victim's name and Aadhaar. They demanded Rs 598,725 to clear the victim's name. Hyderabad Police are investigating the case of cyber fraud."
Tollywood financier and his two associates held in Hyderabad drug bust,"Sep 01, 2024",A Tollywood film financier and two of his associates - an ex-serviceman-turned-peddler and a railway employee - were arrested from a flat in the city during an early morning raid by the Telangana State Anti-Narcotics Bureau (TSNAB) on Thursday.
"Nigerian cartels skirt arrest, use Sudanese as drug mules in Hyderabad","Jul 10, 2024","Bolstered by drug money and rising clientele, Nigerian narcotics traffickers in the city are increasingly outsourcing the risky job of transport and delivery of consignments to lesser-privileged African nationals, particularly those from Sudan."
How a Nigerian captured a third of India’s drug market,"Mar 17, 2024","Iwuala Udoka Stanley grew up in a slum wanting to play football. He came to India 15 years ago to source cheap clothes, but stayed back to become one of the country’s biggest drug lords"
Actress Ashi Roy reveals she was unaware of Bengaluru rave party's intent: 'I thought it was a birthday party',"May 24, 2024","Bengaluru police busted a rave party at a farmhouse in Electronic City. Over 100 people attended, including Telugu actresses Ashi Roy and Hema. Ashi Roy released a video denying knowledge of drug activities at the party."
Woman panchayat president arrested for selling arrack,"Nov 22, 2024","The woman panchayat president of Vadapathi panchayat union in Cuddalore district, M Karpagam, has been arrested on charges of selling arrack. She was found in possession of 23 packets of arrack, each measuring 200ml, hidden in her house. This is not the first time she has been booked for a similar offense. Her husband was also previously arrested for selling arrack. Karpagam has been booked under sections of the Tamil Nadu prohibition act and has been remanded in judicial custody."
"Man smuggles opium from Raj, arrested","May 19, 2024",
Is Tollywood actor Navdeep heading for arrest in drug case?,"Sep 20, 2024","Tollywood actor Navdeep is reportedly facing legal troubles as he is the 37th accused in the Madapur drug case. The police have gathered evidence suggesting that he acquired drugs from a friend named Ramchand, who has already been arrested. Navdeep initially tried to avoid the police investigation but eventually approached the High Court for relief. However, his bail petition was dismissed, and the court agreed with the narcotics police that he needs to be investigated for his alleged involvement with a drug gang. As a result, Navdeep's chances of arrest have increased, leading to a public campaign for his apprehension."
Drug peddler arrested in Bahadurpura,"Jan 26, 2024","In Hyderabad, the Narcotic Enforcement Wing (NEW) arrested a Nigerian drug peddler and seized five grams of cocaine and a cell phone all worth Rs. 60000 from his possession. The NEW team along with the Bahadurpura Police arrested Ojengwa Emmanuel Osondu 34, a Nigerian peddler from Mumbai at Bahadurpura. Osondu came to the city on Tuesday and was waiting for a prospective customer at Bahadurpura when cops arrested him. Police are trying to identify the local peddler who requested Osondu to come to Hyderabad and as well as his consumers."
Rave party case: Telugu actor nabbed for misleading probe,"Jun 04, 2024",
"Ex-MP's son, director among eight more held in Hyderabad drug bust","Sep 15, 2024","Nearly two weeks after a drug bust at a service apartment at Madhapur and arrest of three persons with alleged links to Tollywood, Telangana State Anti-Narcotics Bureau (TSNAB) officials on Thursday arrested eight more persons, including a former MP's son and a film director, in the case."
Raj bizman held with ₹60L worth heroin & MDMA,"Aug 10, 2024",
"Fraudsters resort to ‘digital arrest’, force victims to pay hefty amounts","May 24, 2024",
"Man turns to drug trade to cover losses, arrested","Aug 10, 2024",
Maha gang busted with 208 kg ganja from AP drug hub,"Sep 04, 2024",
TSNAB held 399 peddlers in 2 months,"Aug 25, 2024",
‘Will not tolerate drug menace’,"Jan 31, 2024",
Drug peddler arested,"May 10, 2024",
Telangana's drug addiction centres miss the point,"Feb 23, 2024","Telangana has the highest number of drug users in southern India. The state has one Addiction Treatment Facility (ATF), while smaller states like Arunachal Pradesh and Goa have more facilities. Mahatma Gandhi Memorial Hospital received an ATF under the National Drug Dependence Treatment Centre, AIIMS, Delhi. The facility has requested clinical psychologists with MPhil for rehabilitation services."
Drugs case: Director Krish Jagarlamudi tests -ve,"Mar 03, 2024","Krish Jagarlamudi tested negative in the drug test. Accused include G Vivekanand, Mirza Waheed Baig, Syed Abbas Ali, Abdul Rehman, and the manager of Radisson. The party was hosted by Vivekanand at Radisson Hotel."
15 arrested for illegal sale of restricted drugs worth Rs 40 lakh in Hyderabad,"Feb 24, 2024","Hyderabad Narcotic Enforcement Wing (H-NEW) sleuths on Thursday arrested 15 offenders indulging in illegal sale of alprazolam and codeine phosphate narcotic medicines in the city. They seized 40 lakh worth prescription-only medicines, from them."
Peddler held with Rs 4 lakh drugs in Hyderabad,"Apr 11, 2024","Task force sleuths arrested a peddler, Syed Sharfuddin, 23, and seized 183 gm of charas and 340gm of ganja, all worth ₹4.7 lakh."
2 men arrested in Mumbai for cheating actress by promising role in Hollywood web series,"Apr 25, 2024","The incident came to light when 56-year-old Pareira approached the crime branch with a complaint that her daughter, Krissan, had been cheated under the pretext of providing her a role in a Hollywood web series, the official said."
Two drug peddlers arrested,"Mar 30, 2024","Hyderabad: Hyderabad Narcotic Enforcement Wing along with Bollaram Police arrested two drug peddlers, P Naresh Reddy and P Chandrasekhar at Ammuguda and seized 1,040 gm of hashish oil along with other incriminating material. Police also arrested six consumers. TNN"
"Drugs-in-parcel scam: Nigerian cyber gangs under vigil, IP address abroad","Jul 25, 2024","Telangana has recently been witnessing a surge in cyber fraud cases with the ‘FedEx parcel’ scam being one of the most common scandals. In the last two months alone, eight cases have been reported to Hyderabad cyber crime police with gullible people losing between 3 lakh-10 lakh each."
"Biggest drug haul at RGIA this year, Rs 41 crore heroin seized","May 09, 2024",Directorate of Revenue Intelligence (DRI) officials seized 5.9 kilo heroin worth Rs 41 crore from a woman passenger at Rajiv Gandhi International Airport. Officials said this seizure is this year's highest drug haul.
"Cop turns drug peddler, arrested in Hyderabad","Dec 23, 2024","Three peddlers, including a police constable, were arrested and police seized Rs 20 lakh worth hashish oil from their possession at Hayathnagar on Wednesday."
Telangana: World's strongest ecstasy pills among drugs worth Rs 8 lakh seized,"May 19, 2024","An alleged interstate drug peddler was arrested and 8 lakh worth MDMA, including the world's strongest ecstasy pills, and cocaine was seized from his possession at Choutuppal on Wednesday night."
"3 interstate drug smugglers arrested, 150 kg ganja seized","Jul 02, 2024",Three persons were arrested on Friday for allegedly transporting ganja from Andhra Pradesh to Maharashtra in a car. Rajendranagar police seized 150kg of ganja from the accused.
"Hyderabad construction firm director, two others held for cocaine abuse","Feb 26, 2024","The Cyberabad police in Hyderabad arrested G Vivekanand, a director of Manjeera Group of companies, and nine others for allegedly abusing cocaine at Radisson Blu, Gachibowli. The arrests were made after police found plastic sachets and drug paraphernalia in a hotel room where Vivekanand had hosted a party. Three individuals, including Vivekanand, tested positive for drugs during medical tests."
HC: Release the owner of Goa's Curlies in drugs case,"Mar 30, 2024","The Telangana HC on Tuesday set aside the preventive detention order of Hyderabad police against a Goa-based shack owner Edwin Nunes, who is an accused in a drug smuggling case, and directed the authorities to release him immediately from jail if he is not named in any other criminal case."
Hyderabad cops arrest Odisha native for drug peddling,"Mar 29, 2024","One person was nabbed by Dundigal police on Monday for possessing 23.5kg ganja. Police said that M Sarkar, a resident of Malkangiri in Odisha, along with H Sardar, also from the same area, had been peddling ganja. Sarkar had been supplying ganja to Sardar to sell in Hyderabad."
"Hyderabad police bust drug peddling racket, arrest four","May 06, 2024","The sleuths of task force police nabbed four people, including two accused who were involved in the sale of Osmania biscuits and sheep, for trading drugs to make a quick buck. Police found that among these 6 member gang, barter system was followed to exchange brown sugar with ganja."
"Telangana: Cyber crooks looted Rs 700 crore, victims got Rs 7 crore","Dec 30, 2024","Telangana victims lost 707 crore in cyber crime in 2023. Police froze 114 crore transactions. Victims were refunded 7.29 crore. Cyber crime comprises 17.59% of total crime. Telangana State Cyber Security Bureau and TS-Anti Narcotics Bureau have been strengthened. 85,030 complaints received, 65,877 financial and 19,153 non-financial. 12,317 FIRs registered. 148 naxals arrested, 13 surrendered. Overall conviction rate in 2023 was 41%. 20% conviction rate for NDPS Act violations. 22 new vehicles bought for CM's security. Allegations of phone tapping on opposition leaders."
Hyderabad cops approach Mumbai police to choke drug route,"Mar 06, 2024","The Hyderabad police have shared a list of 12 drug peddlers, part of an organised drug network, with the Mumbai police and urged them to be on the lookout for the offenders."
Police bank on drug users to check abuse,"Dec 31, 2024","Cops in Hyderabad are hoping that increased surveillance on synthetic drug suppliers by Hyderabad's Narcotics Enforcement Wing (HNED) will result in reducing drug revelry this year. Previously, police had registered 86 cases for violation under the NDPS Act during New Year's celebrations. However, this year, the increased vigil has spooked peddlers and caused the prices of drugs to go up, from what it was earlier. For example, a gram of cocaine now costs as much as 10,000 rupees, similarly MDMA is now available for 5000 rupees per gram, and LSD is available for 2500 rupees per blot. Cops say that unlike earlier, parties and clubs are no longer the hotspots for drug business. Many seem to be gravitating towards extra private parties at farmhouses, in order to avoid coming under police lens."
30-50 visit hosp daily hoping to rid of drug-laced toddy addiction: Doc,"Mar 19, 2024",
Hyderabad: 120 persons arrested since formation of new Narcotics wing,"Apr 12, 2024",hyderabad ever since the hyderabadnarcotics enforcement wing hnew was formed in the first week of february 120 persons have been arrested including 30 peddlers the rest alleged drug consumers are mostly out on bail “all the 30 drug peddlers who were arrested by hnew are still behind bars however among consumers who were caught 90 already obtained bail most of them came out in less than one week after they were arrested.
"Andhra Pradesh-Maharastra drug corridor choked, 2 gangs busted","Sep 13, 2024","Two gangs smuggling ganja from Andhra Pradesh to Maharashtra were busted and 1,228 kg contraband seized from them by Cyberabad police on Monday. While one gang was caught with 508 kg of ganja in Dundigal, the other was busted with 720 kg ganja in Narsingi."
Cops to quiz man caught in Hyd with ganja chocolates,"Feb 27, 2024",
"Hyderabad cops crash birthday party: 12 clients, 2 peddlers held with ecstasy haul","Dec 19, 2024","TSNAB arrests drug peddlers and consumers in Hyderabad raid at service apartment in SR Nagar; 40 ecstasy pills worth ₹1.8 lakh seized; peddlers J Ashik Yadav and D Rajesh supplying pills to clients from Nellore, Andhra Pradesh; 12 consumers, including businessmen and IT professionals, tested positive for drug abuse; police seize two cars; peddlers sourced drugs from Bengaluru and Goa; consumers treated as witnesses in the investigation."
"Some new Tollywood actors take drugs, claims Navdeep","Sep 25, 2024",Actor Navdeep has claimed that some new actors in the Telugu film industry (Tollywood) are involved in drug use. He stated that he had heard about it through hearsay and had never witnessed it himself. Navdeep recently confessed to consuming drugs once during questioning by the Telangana State Anti-Narcotics Bureau (TS-NAB). He clarified that he stays away from drugs and only realized the seriousness of the issue after facing investigations by the prohibition & excise department's Special Investigation Team (SIT) and the Enforcement Directorate (ED).
"Drugs reaching Hyderabad in pickle jars, as protein supplements","Jan 04, 2024","In the recent arrest of 59-year-old businessman M Krishna Kishore Reddy (59), who was caught in possession of cocaine by the H-NEW team, investigators stumbled upon new leads on how drug peddlers are now packing in parcels of protein supplements and pickle jars and using private travels buses to ferry the contraband."
"Two peddlers held, 3.5 kg opium seized","Dec 19, 2024",
Third case in 16 days: Drugs lab in Solapur MIDC sealed,"Oct 17, 2024",
Mumbai: Two more held in Rs 267 cr drug racket; godown turned 'cooking lab' in December,"Oct 16, 2024","Two individuals, a supplier and a technician, have been arrested in Nashik in connection with a ₹267 crore mephedrone (MD) racket. The drug manufacturing unit, owned by the brother of a fugitive drug cartel kingpin, had been operating since December 2022 and was supplying mephedrone to Mumbai, Thane, Pune, and Nashik. The unit owner, Bhushan Patil, was arrested earlier this month, and a total of 14 people have been arrested in the case so far. The drug haul seized by the Saki Naka police is the largest in their history."
"Hyderabad drug lab busted, scientist & chemistry graduate arrested for dope business","Aug 11, 2024","Real-life 'Breaking Bad' stories simply refuse to die down. Days after an organic chemistry graduate was arrested in Mumbai with 700kg of mephedrone, Rachkonda Police arrested a B Pharmacy graduate-turned-drug peddler along with a chemistry graduate, who worked as a scientist in private companies. The duo is suspected of manufacturing methamphetamine at a private chemical company at IDA Uppal."
Mum-based drug peddler nabbed near Charminar,"Feb 15, 2024",
Cops on hunt for man who supplied drugs to filmstars,"Sep 16, 2024","Telangana State Anti Narcotics Bureau (TSNAB) has arrested K Bhaskar Balaji for allegedly supplying drugs to Telugu film personalities. They are also searching for drug peddler Ram Kishore, who is believed to have supplied drugs to the filmstars. Both Balaji and Kishore used to purchase drugs from African nationals and sell them to people in the film industry and businessmen. The police have identified 19 consumers who bought drugs from them. The police are also looking for three Africans who played a key role in the drug supply."
"Two interstate gangs busted, 380kg ganja seized, 9 arrested","Jun 06, 2024",Two gangs of interstate drug peddlers were arrested and 380 kg ganja worth 1.1 crore was seized from their possession on Monday.
Man held in Rs 70 crore drug bust case of 2021 in MP; Bajrang Dal functionary says accused son of BJP leader,"Jun 26, 2024",Deputy Commissioner of Police Nimish Agrawal told reporters Bilal Khan was held from Chhoti Gwaltoli area in Gwalior after being on the run for two years.
"Goa drug conduit choked, Hyderabad turns to Maharashtra for MDMA high","Feb 15, 2024","After cops cracked down on the supply networks from Goa, Mumbai has become the new hub for city consumers for their drug doses. On Tuesday, Hyderabad Narcotics Enforcement Wing (H-NEW) arrested four Mumbai-based peddlers and seized 204 grams of MDMA from their possession, said city police commissioner C V Anand."
"Stockbroker held for selling drugs, 41kg ganja seized in Hyderabad","Feb 07, 2024",A stockbrokerturned-ganja peddler was arrested and 41 kg contraband worth `4 lakh seized from the boot of his car which was intercepted in Bachupally by Cyberabad cops.
"Hyderabad man, key player in global internet drug racket, arrested","May 09, 2024",The Narcotics Control Bureau (NCB) on Sunday said it has arrested the promoter of a company in Domalguda for running an illegal internet pharmacy and supplying psychotropic drugs to customers in the United States for recreational use.The agency seized Rs3.
"2 drug peddlers, 10 buyers held","Dec 19, 2024",Rachakonda police on Sunday arrested two drug peddlers and 10 consumers as they were in possession of 1kg of ganja. The prime accused O Venkatesh was previously arrested for violation of NDPS Act and 20 burglary cases. He would procure drugs from known sources and sell it.
2 techies fall prey to drug parcel scam,"Aug 17, 2024",Cyberabad police booked two new cases of drug parcel fraud with two software engineers falling prey to the designs of fraudsters who impersonated FedEx.
Goa police to leave for Hyderabad to nab drug suppliers,"Oct 13, 2024","After a Hyderabad native was arrested with drugs at Siolim on Wednesday, crime branch SP Nidhin Valsan said they have received vital clues of the drug supply chain from Hyderabad to Goa. Valsan said a Goa police team will be leaving for Hyderabad soon to arrest at least six persons who supply drugs to Goa."
Three arrested for drug peddling in Hyderabad,"Jul 12, 2024",
"Vizag: 3 arrested with drugs, fourth accused at large","Feb 01, 2024","City Task Force (CTF) police arrested three persons, including a woman, and seized drugs from them. The arrested were: Aripaka Loka Venkata Hemanth Kumar (35) of Marripalem in Vizag, Ganta Malavya (24) of Hyderabad, and Uppalapati Prudhvi Raju (33) of Venkojopalem in Vizag."
Cops: Mohit sourced drugs from Edwin and supplied to DJs in Hyderabad,"Jan 06, 2024",Ramgopalpet police along with H-NEW team grilled event manager Mohit Agarwal on Thursday regarding the cocaine seized from his possession on December 31 night. Police said Mohit claimed to have not involved in any kind of peddling activity.
Hyderabad: Arabic tutor held for drug peddling,"Aug 27, 2024",An Arabic tutor who was allegedly peddling cocaine was nabbed by the Cyberabad Special Operation Team (SOT) on Thursday at RC Puram.
"Rs 1.3 crore cocaine seized in Hyderabad drug bust, Nigerian and 3 others held","May 07, 2024","In one of the biggest drug busts in the city in recent times, Cyberabad police have arrested a four-member gang, including a Nigerian national, for transporting and smuggling 303 gram of cocaine worth Rs 1. 30 crore."
Pune pseudoephedrine pushers arrested in Hyderabad for shipping dope to Australia,"Feb 15, 2024","Two Pune-based alleged drug peddlers, trying to ship pseudoephedrine to Australia and New Zealand through courier agencies in the city, have been arrested at Nacharam. Pseudoephedrine is a precursor for manufacturing methamphetamine."
Cyber cops arrest one from UP for parcel fraud,"Dec 26, 2024",
"Man smuggled heroin from Mumbai, arrested in Hyderabad","Dec 26, 2024",A cab driver from Chandrayangutta was nabbed by RGIA police and 48 gram of heroin was recovered from him.
Nigerian peddler posing as pastor held with ecstasy pills,"Aug 18, 2024",
HillTop owner held by Hyderabad cops in drugs case,"Sep 22, 2024",Hyderabad police on Wednesday arrested HillTop owner John Stephen (Steve) D’Souza in connection with a narcotics case registered in the Telangana capital.
"5 held in Hyderabad drug bust, clients mostly students","Jul 13, 2024",Sleuths of the Hyderabad Narcotic Enforcement Wing (H-NEW) along with SR Nagar police busted a drug peddling racket and arrested five persons. Police seized 36 grams of MDMA worth Rs 4 lakh and six cellphones from their possession.
"STF arrests spurious drugs gang kingpin, seizes stock worth Rs 7.50 crore in Varanasi","Mar 02, 2024",Spurious drugs were being stocked in Varanasi and supplied in various states.
"3 pan-India drug networks busted by Hyderabad Narcotics Enforcement Wing, 8 held","Sep 02, 2024",Three different pan-India drug networks operating on dark web and accepting payments only via crypto currency has been busted by the Hyderabad Narcotics Enforcement Wing (H-NEW).
Hyderabad: Interstate opium peddler and 3 addicts arrested,"Dec 01, 2024",The Special Operations Team (SOT) of Rachakonda have arrested an alleged interstate drug peddler along with three consumers and seized 750 grams of opium from his possession.
Hyderabad pub drug bust: Cops get four-day custody of 2,"Apr 13, 2024",A local court on Tuesday awarded four-day custody of two arrested accused in Pudding and Mink pub cocaine peddling case.
Hyderabad: Key drug peddler Tony granted bail,"Aug 18, 2024","Eight months after he was arrested by Hyderabad police for being a key drug peddler, Chukwu Ogbonna David alias Tony was released on bail from Chanchalguda jail."
"Drug peddler held, MDMA meant for New Year revelry seized in Hyderabad","Dec 20, 2024","Cyberabad police arrested a drug peddler on Monday and seized 48 grams of MDMA worth ₹3.5 lakh from his possession. The accused was trying to cash in on the demand for narcotics from New Year revellers, police said."
Cops seize Rs 267 crore ecstasy in Nashik drug unit bust,"Oct 07, 2024","A drugs manufacturing unit was raided in Shindegaon near Nashik, resulting in the seizure of 133kg of MDMA worth Rs 267 crore. This comes after previous seizures leading up to the raid, bringing the total seized quantity of MDMA to 151kg. The unit was owned by the brother of a drug mafia don named Lalit Patil. Patil had escaped from the hospital earlier this week after being arrested in 2020 and allegedly ran a drug cartel from there. The raid was conducted after the arrest of the unit's caretaker."
Crime rate up by nearly 7% in Rachakonda: CP,"Dec 28, 2024",
"Goa drug kingpin Steve in police net, brought to Hyderabad","Sep 24, 2024","Two days after he was arrested by Hyderabad police in Goa, John Stephen D’Souza alias Steve — owner of Vagator’s popular party destination HillTop — was brought to the city on Friday. The alleged drug kingpin tried to wriggle out of the arrest by giving fake age and health reasons."
Hyderabad police nab elusive Curlies shack owner in Goa ambush,"Nov 06, 2024",
Hyderabad: Two Nigerians held for drug peddling,"Jun 03, 2024","The special operations team (SOT) sleuths of Cyberabad arrested two Nigerian nationals for peddling drugs and seized 4.5 grams of cocaine and 10 MDMA pills from their possession, on Thursday."
"Three held for peddling drugs, narcotics worth Rs 10 lakh seized in Hyderabad","Dec 31, 2024","Three people were arrested here on Thursday for allegedly peddling LSD and MDMA and drugs worth Rs 10.18 lakh was seized from them, police said."
Hyderabad: Three pharmacists arrested for illegal sale of mucormycosis drug,"Jun 22, 2024","Task force police arrested three pharmacists for indulging in illegal sale of Amphotericin-B injection used to treat mucormycosis and seized 35 vials from them. Acting on specific information, central zone team of task force laid a trap to nab three members of the gang at Necklace Road."
Hyderabad: Two from Rajasthan arrested for selling heroin,"Oct 29, 2024","Two men from Rajasthan were held with twenty grams of heroin in Gajularamaram on Friday. According to Jagathgirigutta police, accused Manoj, a carpenter, and Ramaram, a farmer, had bought the narcotic substance in Rajasthan for sale in the city."
Passenger held with 5 kg cocaine at Hyderabad airport,"Sep 02, 2024","A male passenger was arrested at Hyderabad international airport for trying to smuggle cocaine with an estimated value of Rs 50 crore into the country, according to the Directorate of Revenue Intelligence (DRI)."
"Hyderabad: Nigerian, 2 aides held in inter-state drug bust","Oct 23, 2024","A Nigerian national and his two Indian associates, were arrested by the Hyderabad- Narcotic Enforcement Wing (H-NEW) team along with the Punjagutta police on Saturday as they were operating a drug racket. Police seized 40 grams of cocaine from the accused."
